Country Name,Country Code,Time,Time Code,"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","GNI per capita, PPP (current international $) [NY.GNP.PCAP.PP.CD]",Prevalence of undernourishment (% of population) [SN.ITK.DEFC.ZS],Food production index (2014-2016 = 100) [AG.PRD.FOOD.XD],"Prevalence of HIV, total (% of population ages 15-49) [SH.DYN.AIDS.ZS]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","School enrollment, primary (% net) [SE.PRM.NENR]","School enrollment, secondary (% net) [SE.SEC.NENR]","Labor force participation rate, female (% of female population ages 15+) (national estimate) [SL.TLF.CACT.FE.NE.ZS]",Proportion of seats held by women in national parliaments (%) [SG.GEN.PARL.ZS],People using at least basic drinking water services (% of population) [SH.H2O.BASW.ZS],Access to electricity (% of population) [EG.ELC.ACCS.ZS],Unemployment with basic education (% of total labor force with basic education) [SL.UEM.BASC.ZS],Urban population (% of total population) [SP.URB.TOTL.IN.ZS],Population living in slums (% of urban population) [EN.POP.SLUM.UR.ZS],Population density (people per sq. km of land area) [EN.POP.DNST],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Forest area (% of land area) [AG.LND.FRST.ZS],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS]
Angola,AGO,2014,YR2014,60.04,7630,13.7,97.41,1.9,5.864,..,..,37.02,36.8181818181818,53.5415069,32,14.93,62.731,50.31801,21.7601163070506,1.09220849033245,56.0983011149435,4.69845451564414
Angola,AGO,2015,YR2015,60.655,6900,14.5,100.32,1.9,5.774,..,..,..,36.8181818181818,54.31692835,42,..,63.446,..,22.5617397930537,1.12518891950045,55.6530761209593,3.1054262930828
Angola,AGO,2016,YR2016,61.092,6660,15.4,102.27,1.8,5.686,..,..,..,36.8181818181818,55.08427644,41.8131294250488,..,64.149,56.44953,23.385534611374,1.02092811921599,55.2078447100345,2.73334065530719
Argentina,ARG,2000,YR2000,73.926,11240,..,69.09,0.3,2.591,98.92861,78.48781,44.11,26.4591439688716,96.29467974,95.7832870483398,..,89.142,20.29188,13.5458433362931,3.56799402138191,12.1964855354461,1.14882267666887
Argentina,ARG,2001,YR2001,74.186,10840,3,69.3,0.3,2.531,99.0026,78.94955,43.2,..,96.53175832,95.5110626220703,..,89.329,..,13.6955566761307,3.34195444014037,12.0808714176615,1.18423354187058
Argentina,ARG,2002,YR2002,74.408,9480,3.8,68.92,0.3,2.493,98.95948,78.81052,45.6,30.7392996108949,96.76268593,96.2288665771484,22.04,89.51,19.56624,13.8433757568449,3.10056521536687,11.9652572998769,1.09188047859748
Argentina,ARG,2003,YR2003,74.08,10530,4.5,71.55,0.3,2.451,98.87379,78.51365,48.97,30.7392996108949,96.98789954,96.4426345825195,17.29,89.686,..,13.9870295868367,3.33495619068877,11.8496431820922,1.06089505704838
Argentina,ARG,2004,YR2004,74.855,10810,4,73.11,0.3,2.43,98.57855,78.53653,50.31,33.7254901960784,97.20809699,96.6535034179688,14.75,89.86,18.84059,14.1297684429,3.65607193976249,11.7340290643076,0.883295358833529
Argentina,ARG,2005,YR2005,75.139,11980,3.7,83.13,0.3,2.426,98.81425,77.93493,49.48,36.1867704280156,97.42319597,96.8638458251953,13.13,90.031,..,14.2765534276809,3.73662984255052,11.618414946523,0.847154783885961
Argentina,ARG,2006,YR2006,75.433,14410,3.4,82.09,0.4,2.4,98.85437,77.80917,50.1,35.0194552529183,97.63347995,97.076057434082,11.37,90.2,18.11494,14.4250357183313,3.92391226949688,11.5028008287384,0.788233877461469
Argentina,ARG,2007,YR2007,75.006,16080,3.3,89.91,0.4,2.37,99.13952,77.68491,48.9,40,97.83887029,97.2927932739258,..,90.366,..,14.5709272880743,4.08279784355099,11.3871867109537,0.792548175031362
Argentina,ARG,2008,YR2008,75.641,16910,3.3,91.19,0.4,2.341,99.13278,78.65304,48.42,40,98.03963014,97.5167541503906,9.37,90.53,17.3893,14.7162334791299,4.15221133140035,11.2715725931691,0.762756475390461
Argentina,ARG,2009,YR2009,75.936,15750,3.2,76.14,0.4,2.344,99.09709,80.56529,49.13,38.5214007782101,98.23571573,97.7506561279297,10.27,90.691,..,14.8662574131524,3.84831627345147,11.1559584753845,0.886508576686385
Argentina,ARG,2010,YR2010,75.721,17450,3.1,88.16,0.4,2.346,98.7319,82.09918,48.05,38.5214007782101,98.42725533,98.8199996948242,8.97,90.849,16.66365,14.904301546759,4.0998122679475,11.0403443575999,0.814878105497939
Argentina,ARG,2011,YR2011,76.124,18770,2.9,92.8,0.4,2.338,98.91685,83.52317,48.24,37.3540856031128,98.61329285,99.0953521728516,8.35,90.99,..,15.0771515955406,4.28094332027273,10.9587128976976,0.764287094036749
Argentina,ARG,2012,YR2012,76.467,19180,2.8,86.48,0.4,2.33,99.05122,85.89363,48.38,37.3540856031128,98.79495003,99.22998046875,8.2,91.121,15.93801,15.2495426957383,4.26422362148416,10.8770814377953,0.784824721019786
Argentina,ARG,2013,YR2013,76.491,19700,2.6,94,0.4,2.322,99.11341,87.09754,47.96,36.5758754863813,98.85206691,99.3426742553711,8.17,91.249,..,15.421160233713,4.34212454655109,10.795449977893,0.837736430159436
Argentina,ARG,2014,YR2014,76.755,19280,2.5,95.09,0.4,2.312,99.44461,87.6325,47.71,36.5758754863813,98.90931952,100,8.56,91.377,..,15.5916453818299,4.20905330505396,10.7138185179907,0.878100919364039
Argentina,ARG,2015,YR2015,76.76,19730,2.5,103.96,0.4,2.301,99.49576,88.44048,..,..,98.96658815,99.6253890991211,..,91.503,..,15.7606327351655,4.30185120706067,10.6321870580884,0.850128583186764
Argentina,ARG,2016,YR2016,76.308,19860,2.6,100.95,0.4,2.241,99.10172,89.88468,..,35.7976653696498,99.0238575,99.8495788574219,..,91.627,..,15.9281350828921,4.20180210453832,10.6003968297469,0.813140077928875
Armenia,ARM,2000,YR2000,70.624,2650,..,46.3,..,1.603,..,..,35.28,3.05343511450382,95.22086305,98.9000015258789,..,64.666,12.79599,111.29339655778,1.12386749283499,11.6838777660695,3.56002487253697
Armenia,ARM,2001,YR2001,70.932,3000,26.1,48.43,..,1.544,..,..,..,3.05343511450382,95.49284638,100,..,64.385,..,110.05033368458,1.14964797217354,11.6765718299965,3.12724938530975
Armenia,ARM,2002,YR2002,71.018,3500,24.5,49.72,..,1.525,84.48945,..,..,3.05343511450382,95.78067376,98,..,64.236,12.30696,109.063470319635,1.00440026962642,11.6692658939234,2.69771474886414
Armenia,ARM,2003,YR2003,71.436,4090,21.1,53.7,..,1.534,82.67607,..,..,4.58015267175572,96.07533883,99.1901321411133,..,64.137,..,108.32813487882,1.133360699484,11.6619599578504,2.72837221377968
Armenia,ARM,2004,YR2004,71.421,4710,16,62.67,..,1.541,..,..,..,5.34351145038168,96.3722248,99.1892318725586,..,64.038,11.81793,107.68335089568,1.22769506270091,11.6546540217773,2.74199670493715
Armenia,ARM,2005,YR2005,71.792,5560,12.3,72.74,..,1.54,81.05196,86.5328,..,5.34351145038168,96.67127128,99.8000030517578,..,63.938,..,107.033579206182,1.4639120044788,11.6473480857042,2.87193136291811
Armenia,ARM,2006,YR2006,71.987,6570,9.3,75.6,..,1.349,83.44942,88.92706,..,5.34351145038168,96.97262891,99.188232421875,..,63.839,11.3289,106.304390586582,1.48330439988819,11.6400421496312,2.94761315625864
Armenia,ARM,2007,YR2007,72.327,7780,6.9,82.25,..,1.418,87.87505,91.63539,42.37,9.16030534351145,97.27617604,99.1931838989258,24.32,63.739,..,105.528380751668,1.73226338897741,11.6327362135581,3.04257470127966
Armenia,ARM,2008,YR2008,72.398,8580,5.6,84.47,..,1.441,..,86.10852,48.61,8.3969465648855,97.58203679,99.2053756713867,31.15,63.64,10.83987,104.791745697225,1.90569819009788,11.6254302774851,3.39557936270657
Armenia,ARM,2009,YR2009,72.813,7340,4.4,84.35,..,1.551,..,92.32107,51,9.16030534351145,97.89011617,99.2275009155273,13.34,63.54,..,104.119985950123,1.52171038249891,11.618124341412,4.15704990783508
Armenia,ARM,2010,YR2010,73.16,7690,3.7,73,..,1.501,..,92.50998,52.2,9.16030534351145,98.2004766,99.8000030517578,13.69,63.44,10.35084,103.487636108184,1.47188348205694,11.610818405339,4.26564605593771
Armenia,ARM,2011,YR2011,73.305,8160,3.4,81.17,..,1.5,95.15386,87.74122,51.18,8.3969465648855,98.51312626,99.6057968139648,15.66,63.34,..,102.879381805409,1.68560616406553,11.6035124692659,3.85394644115574
Armenia,ARM,2012,YR2012,73.454,9640,3.2,88.2,..,1.6,96.41176,..,49.7,10.6870229007634,98.82807295,99.6289672851563,14.19,63.24,9.86181,102.368141903758,1.96145306391904,11.5962065331928,3.58376691873744
Armenia,ARM,2013,YR2013,73.676,10430,3.2,92.5,..,1.6,95.00256,..,51.29,10.6870229007634,99.14571586,99.4199981689453,14.71,63.164,..,101.910256410256,1.896163384039,11.5889005971198,3.99724455730484
Armenia,ARM,2014,YR2014,74.058,10570,2.8,97.4,..,1.703,93.76733,..,55.17,10.6870229007634,99.44055835,99.7099990844727,9.64,63.112,9.37278,101.507903055848,1.89589367216507,11.5815946610467,3.94337826474581
Armenia,ARM,2015,YR2015,74.436,10540,2.8,106.65,..,1.602,92.69541,..,54.17,10.6870229007634,99.5525667,100,15.24,63.085,..,101.109764664559,1.85625278998956,11.5742887249737,4.23922578573229
Armenia,ARM,2016,YR2016,74.664,11220,2.7,95.95,..,1.626,92.23963,..,52.37,10.6870229007634,99.56094081,99.8000030517578,14.57,63.082,8.88375,100.661573586231,1.7679664042068,11.5669125395153,4.09034921699325
Azerbaijan,AZE,2000,YR2000,64.891,3320,..,53.46,0.1,2,88.23962,..,72.7,..,73.58852302,98.9082260131836,..,51.386,50.94,97.434779976999,3.44000198792337,11.9510925488772,2.26786206311863
Azerbaijan,AZE,2001,YR2001,65.51,3680,17,59.73,0.1,1.8,85.38303,..,70.7,10.4838709677419,74.79172646,98.6218032836914,..,51.587,..,98.1937920681807,3.25441365026137,12.0060469226672,2.31206260817217
Azerbaijan,AZE,2002,YR2002,66.239,4030,13.4,63.55,0.1,1.8,84.82565,..,68.8,10.4838709677419,76.00272351,100,..,51.787,44.93667,98.9124645960929,3.20334803810596,12.0588116391101,2.24331377031766
